render_id,canonical_name,category,category_code,policy,original_v5_shift,candidate_shift,difference_from_v5,face_x_after,face_safe,new_edge_clipping,has_new_edge_clipping,tracking_confidence
c471,白雪公主：重型武装,C 长枪/背包 (白雪公主：重型武装),C,C,86.12,39.95,-46.17,781.95,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9527
c471,白雪公主：重型武装,C 长枪/背包 (白雪公主：重型武装),C,D,86.12,32.0,-54.12,774.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9527
c471,白雪公主：重型武装,C 长枪/背包 (白雪公主：重型武装),C,E,86.12,47.73,-38.39,789.73,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9527
c100,拉普拉斯,C 长枪/背包 (拉普拉斯),C,A,11.7,0.0,-11.7,760.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9932
c100,拉普拉斯,C 长枪/背包 (拉普拉斯),C,B,11.7,11.7,0.0,771.7,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9932
c100,拉普拉斯,C 长枪/背包 (拉普拉斯),C,C,11.7,11.7,0.0,771.7,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9932
c100,拉普拉斯,C 长枪/背包 (拉普拉斯),C,D,11.7,11.7,0.0,771.7,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9932
c100,拉普拉斯,C 长枪/背包 (拉普拉斯),C,E,11.7,11.7,0.0,771.7,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9932
c102,麦斯威尔,C 长枪/背包 (麦斯威尔),C,A,85.02,0.0,-85.02,760.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.6844
c102,麦斯威尔,C 长枪/背包 (麦斯威尔),C,B,85.02,85.02,0.0,845.02,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.6844
c102,麦斯威尔,C 长枪/背包 (麦斯威尔),C,C,85.02,39.94,-45.08,799.94,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.6844
c102,麦斯威尔,C 长枪/背包 (麦斯威尔),C,D,85.02,31.99,-53.03,791.99,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.6844
c102,麦斯威尔,C 长枪/背包 (麦斯威尔),C,E,85.02,47.7,-37.32,807.7,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.6844
c220,白雪公主,C 长枪/背包 (白雪公主),C,A,108.42,0.0,-108.42,760.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.8951
c220,白雪公主,C 长枪/背包 (白雪公主),C,B,108.42,108.42,0.0,868.42,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.8951
c220,白雪公主,C 长枪/背包 (白雪公主),C,C,108.42,39.99,-68.43,799.99,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.8951
c220,白雪公主,C 长枪/背包 (白雪公主),C,D,108.42,32.0,-76.42,792.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.8951
c220,白雪公主,C 长枪/背包 (白雪公主),C,E,108.42,47.96,-60.46,807.96,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.8951
c330,皇冠,D 机械翼/披风 (皇冠),D,A,-72.64,0.0,72.64,760.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9792
c330,皇冠,D 机械翼/披风 (皇冠),D,B,-72.64,-72.64,0.0,687.36,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9792
c330,皇冠,D 机械翼/披风 (皇冠),D,C,-72.64,-39.79,32.85,720.21,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9792
c330,皇冠,D 机械翼/披风 (皇冠),D,D,-72.64,-31.97,40.67,728.03,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9792
c330,皇冠,D 机械翼/披风 (皇冠),D,E,-72.64,-47.18,25.46,712.82,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9792
c101,德雷克,D 机械翼/披风 (德雷克),D,A,42.51,0.0,-42.51,760.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9645
c101,德雷克,D 机械翼/披风 (德雷克),D,B,42.51,42.51,0.0,802.51,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9645
c101,德雷克,D 机械翼/披风 (德雷克),D,C,42.51,36.19,-6.32,796.19,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9645
